file,MSE,MAE
ETTh1_336_96.log,0.3850204050540924,0.40587565302848816
ETTh1_336_192.log,0.41370075941085815,0.4210745692253113
ETTh1_336_336.log,0.44073522090911865,0.44042468070983887
ETTh1_336_720.log,0.4561306834220886,0.4709123969078064
ETTh2_336_96.log,0.27482959628105164,0.3373226523399353
ETTh2_336_192.log,0.33856692910194397,0.3790194094181061
ETTh2_336_336.log,0.36767369508743286,0.3997150659561157
ETTh2_336_720.log,0.3914906084537506,0.4292302131652832
ETTm1_336_96.log,0.2929265797138214,0.343125581741333
ETTm1_336_192.log,0.330718070268631,0.3683226704597473
ETTm1_336_336.log,0.36574244499206543,0.39189961552619934
ETTm1_336_720.log,0.41949403285980225,0.4245733320713043
ETTm2_336_96.log,0.16389016807079315,0.25422370433807373
ETTm2_336_192.log,0.21972347795963287,0.29158106446266174
ETTm2_336_336.log,0.27689129114151,0.3287873864173889
ETTm2_336_720.log,0.3689269423484802,0.3855065703392029
weather_336_96.log,0.15124833583831787,0.19990117847919464
weather_336_192.log,0.19543693959712982,0.24175170063972473
weather_336_336.log,0.24910257756710052,0.2834393084049225
weather_336_720.log,0.3210086524486542,0.33470985293388367
Electricity_336_96.log,0.12989841401576996,0.22244618833065033
Electricity_336_192.log,0.14966769516468048,0.24159985780715942
Electricity_336_336.log,0.16630105674266815,0.2597520351409912
Electricity_336_720.log,0.21042309701442719,0.29846224188804626
traffic_336_96.log,0.3665211796760559,0.25045737624168396
traffic_336_192.log,0.3887597918510437,0.26393431425094604
traffic_336_336.log,0.39849844574928284,0.26558804512023926
traffic_336_720.log,0.4572030305862427,0.31118127703666687
