file,MSE,MAE
ETTh1_720_96.log,0.37664735317230225,0.40806397795677185
ETTh1_720_192.log,0.4132126271724701,0.4308091700077057
ETTh1_720_336.log,0.43580684065818787,0.4463587701320648
ETTh1_720_720.log,0.45539218187332153,0.4748151898384094
ETTh2_720_96.log,0.2755037546157837,0.33929702639579773
ETTh2_720_192.log,0.3417877314567566,0.38525587797164917
ETTh2_720_336.log,0.3644008934497833,0.404677152633667
ETTh2_720_720.log,0.39464831352233887,0.43443363904953003
ETTm1_720_96.log,0.2978765368461609,0.3522125780582428
ETTm1_720_192.log,0.33456751704216003,0.3734314739704132
ETTm1_720_336.log,0.3657380938529968,0.39395615458488464
ETTm1_720_720.log,0.41986083984375,0.4209056794643402
ETTm2_720_96.log,0.16515598785877228,0.25954540753364563
ETTm2_720_192.log,0.21865990352630615,0.2982354083061218
ETTm2_720_336.log,0.26793399453163147,0.3331676173210144
ETTm2_720_720.log,0.3520640432834625,0.3857900974750519
weather_720_96.log,0.14853587746620178,0.19939450919628143
weather_720_192.log,0.19319432973861694,0.24287870526313782
weather_720_336.log,0.2397051602602005,0.28056102991104126
weather_720_720.log,0.3123511075973511,0.33373570442199707
Electricity_720_96.log,0.1408144235610962,0.2395770251750946
Electricity_720_192.log,0.15638676285743713,0.2559920847415924
Electricity_720_336.log,0.17168675363063812,0.2668302357196808
Electricity_720_720.log,0.20747816562652588,0.29905450344085693
traffic_720_96.log,0.3626011610031128,0.24971544742584229
traffic_720_192.log,0.3823298513889313,0.2581225633621216
traffic_720_336.log,0.3988827168941498,0.2677631974220276
traffic_720_720.log,0.4321482181549072,0.2888314723968506
