file,MSE,MAE
ETTh1_192_96.log,0.3952028751373291,0.4133792519569397
ETTh1_192_192.log,0.4469187557697296,0.4450027048587799
ETTh1_192_336.log,0.47820377349853516,0.46456214785575867
ETTh1_192_720.log,0.5421411395072937,0.5243849158287048
ETTh2_192_96.log,0.30269819498062134,0.3553331196308136
ETTh2_192_192.log,0.3834441304206848,0.40716999769210815
ETTh2_192_336.log,0.41751688718795776,0.430730938911438
ETTh2_192_720.log,0.4388696551322937,0.45274022221565247
ETTm1_192_96.log,0.3154984130859375,0.35235950350761414
ETTm1_192_192.log,0.34471747279167175,0.3777722418308258
ETTm1_192_336.log,0.38647353649139404,0.4046503007411957
ETTm1_192_720.log,0.4553789794445038,0.44378572702407837
ETTm2_192_96.log,0.17797447741031647,0.2676127552986145
ETTm2_192_192.log,0.2490459829568863,0.3141409456729889
ETTm2_192_336.log,0.3200984001159668,0.3541603684425354
ETTm2_192_720.log,0.38922953605651855,0.39753472805023193
Weather_192_96.log,0.169276162981987,0.2146182656288147
Weather_192_192.log,0.2141517847776413,0.2542605400085449
Weather_192_336.log,0.26558202505111694,0.2924303710460663
Weather_192_720.log,0.3406539559364319,0.34412744641304016
Electricity_192_96.log,0.1425497978925705,0.23852011561393738
Electricity_192_192.log,0.16072073578834534,0.2557755410671234
Electricity_192_336.log,0.17981134355068207,0.2757670283317566
Electricity_192_720.log,0.21947583556175232,0.3084319829940796
Traffic_192_96.log,0.4344732463359833,0.309599369764328
Traffic_192_192.log,0.4583989977836609,0.32429179549217224
Traffic_192_336.log,0.47797590494155884,0.3364798426628113
Traffic_192_720.log,0.5167562365531921,0.36093857884407043
