file,MSE,MAE
Etth1_96_96.log,0.9626948833465576,0.7797272205352783
Etth1_96_192.log,1.0084079504013062,0.7817590832710266
Etth1_96_336.log,1.0465705394744873,0.7904399633407593
Etth1_96_720.log,1.150503158569336,0.8446230292320251
Etth2_96_96.log,2.85430645942688,1.3336796760559082
Etth2_96_192.log,6.137120723724365,2.0684702396392822
Etth2_96_336.log,4.822793960571289,1.8420838117599487
Etth2_96_720.log,4.118081569671631,1.6958855390548706
Ettm1_96_96.log,0.6305805444717407,0.5662747621536255
Ettm1_96_192.log,0.7359122037887573,0.6259127259254456
Ettm1_96_336.log,1.2877622842788696,0.9069129824638367
Ettm1_96_720.log,0.9767382144927979,0.7473199963569641
Ettm2_96_96.log,0.3826006352901459,0.4642447233200073
Ettm2_96_192.log,0.826668918132782,0.7165645360946655
Ettm2_96_336.log,1.387460470199585,0.9075918793678284
Ettm2_96_720.log,3.906222105026245,1.4742165803909302
weather_96_96.log,0.36213603615760803,0.42433688044548035
weather_96_192.log,0.4822527766227722,0.47409623861312866
weather_96_336.log,0.43398934602737427,0.44478222727775574
weather_96_720.log,1.0668799877166748,0.7714055180549622
electricity_96_96.log,0.3211428225040436,0.40837472677230835
electricity_96_192.log,0.3471033573150635,0.43040814995765686
electricity_96_336.log,0.3465080261230469,0.4305184781551361
electricity_96_720.log,0.3905424177646637,0.4535323977470398
traffic_96_96.log,0.7374563813209534,0.4110940396785736
traffic_96_192.log,0.7361524105072021,0.4133712947368622
traffic_96_336.log,0.8644827604293823,0.4852730333805084
traffic_96_720.log,0.9856538772583008,0.5528883934020996
