file,MSE,MAE
Etth1_720_96.log,0.37787288427352905,0.40155550837516785
Etth1_720_192.log,0.41513970494270325,0.4251370131969452
Etth1_720_336.log,0.4486066699028015,0.44858109951019287
Etth1_720_720.log,0.5066271424293518,0.5171266198158264
ETTh2_720_96.log,0.2936078608036041,0.3604189157485962
ETTh2_720_192.log,0.41226261854171753,0.43724215030670166
ETTh2_720_336.log,0.47116661071777344,0.4783591628074646
ETTh2_720_720.log,0.7399173974990845,0.6087997555732727
ETTm1_720_96.log,0.3069785535335541,0.3499951660633087
ETTm1_720_192.log,0.3474717438220978,0.38138991594314575
ETTm1_720_336.log,0.3665231168270111,0.38673481345176697
ETTm1_720_720.log,0.41537144780158997,0.4154800474643707
ETTm2_720_96.log,0.16341805458068848,0.2566758394241333
ETTm2_720_192.log,0.22316676378250122,0.3035533130168915
ETTm2_720_336.log,0.2912062406539917,0.3546202778816223
ETTm2_720_720.log,0.40729042887687683,0.43268024921417236
Weather_720_96.log,0.17564236917495728,0.24244434595108032
Weather_720_192.log,0.2155834775209427,0.2771303572654724
Weather_720_336.log,0.26220434498786926,0.3189718940258026
Weather_720_720.log,0.32605893778800964,0.3592964925765991
electricity_720_96.log,0.14081948928833008,0.2435976334810257
electricity_720_192.log,0.15454754030704498,0.2583165514469147
electricity_720_336.log,0.16998038983345032,0.27455639028549194
electricity_720_720.log,0.20887491583824158,0.309487092256546
traffic_720_96.log,0.39559138774871826,0.2716562578678131
traffic_720_192.log,0.4036368999004364,0.2754441628456116
traffic_720_336.log,0.41988225083351135,0.28319369053840637
traffic_720_720.log,0.4570338137149811,0.3098636486530304
