file,MSE,MAE
ETTh1_96_96.log,0.3890670835971832,0.41200587153434753
ETTh1_96_192.log,0.4393922984600067,0.4417029023170471
ETTh1_96_336.log,0.49417048692703247,0.4708813726902008
ETTh1_96_720.log,0.5163485407829285,0.49371349811553955
ETTh2_96_96.log,0.32859066128730774,0.36950358748435974
ETTh2_96_192.log,0.3944840729236603,0.41001155972480774
ETTh2_96_336.log,0.4707784652709961,0.46765637397766113
ETTh2_96_720.log,0.43921810388565063,0.4509779214859009
ETTm1_96_96.log,0.3363429009914398,0.3765150308609009
ETTm1_96_192.log,0.38716572523117065,0.4016279876232147
ETTm1_96_336.log,0.41324466466903687,0.42149680852890015
ETTm1_96_720.log,0.48237428069114685,0.45955178141593933
ETTm2_96_96.log,0.18812580406665802,0.26770147681236267
ETTm2_96_192.log,0.25069859623908997,0.30593374371528625
ETTm2_96_336.log,0.3160577118396759,0.3452867865562439
ETTm2_96_720.log,0.4231693744659424,0.40706467628479004
weather_96_96.log,0.1690145581960678,0.21946778893470764
weather_96_192.log,0.2245326191186905,0.26396456360816956
weather_96_336.log,0.28196826577186584,0.30419355630874634
weather_96_720.log,0.3594687879085541,0.35454463958740234
Electricity_96_96.log,0.21089862287044525,0.31048884987831116
Electricity_96_192.log,0.2509767413139343,0.3342670798301697
Electricity_96_336.log,0.2642267644405365,0.34582987427711487
Electricity_96_720.log,0.2980186343193054,0.3704855740070343
traffic_96_96.log,0.6043108105659485,0.334475040435791
traffic_96_192.log,0.6263875365257263,0.34040921926498413
traffic_96_336.log,0.6438060402870178,0.34873443841934204
traffic_96_720.log,0.6837748885154724,0.3662906885147095
