file,MSE,MAE
ETTh1_336_96.log,0.40251243114471436,0.41421157121658325
ETTh1_336_192.log,0.4239661395549774,0.4256832003593445
ETTh1_336_336.log,0.4287013113498688,0.4313018321990967
ETTh1_336_720.log,0.4210147559642792,0.44606682658195496
ETTh2_336_96.log,0.28879714012145996,0.34429413080215454
ETTh2_336_192.log,0.34527286887168884,0.381991982460022
ETTh2_336_336.log,0.3648935556411743,0.40023452043533325
ETTh2_336_720.log,0.3877376317977905,0.4237634837627411
ETTm1_336_96.log,0.30578896403312683,0.3471541702747345
ETTm1_336_192.log,0.34117570519447327,0.367860347032547
ETTm1_336_336.log,0.37320247292518616,0.3852688670158386
ETTm1_336_720.log,0.4287508428096771,0.41651567816734314
ETTm2_336_96.log,0.1676979511976242,0.2562088370323181
ETTm2_336_192.log,0.2208104431629181,0.29163122177124023
ETTm2_336_336.log,0.2766214907169342,0.3273922801017761
ETTm2_336_720.log,0.3680550158023834,0.38232311606407166
weather_336_96.log,0.17706544697284698,0.22737789154052734
weather_336_192.log,0.22097600996494293,0.26387330889701843
weather_336_336.log,0.2671283781528473,0.29678875207901
weather_336_720.log,0.3343089818954468,0.3433611989021301
Electricity_336_96.log,0.14671605825424194,0.24099066853523254
Electricity_336_192.log,0.15841183066368103,0.25140443444252014
Electricity_336_336.log,0.1742151379585266,0.26817625761032104
Electricity_336_720.log,0.21191950142383575,0.29909342527389526
traffic_336_96.log,0.41537898778915405,0.27905192971229553
traffic_336_192.log,0.42610469460487366,0.28290554881095886
traffic_336_336.log,0.4375002086162567,0.28958046436309814
traffic_336_720.log,0.46453797817230225,0.30533090233802795
