file,MSE,MAE
ETTh1_192_96.log,0.37654393911361694,0.3892992436885834
ETTh1_192_192.log,0.43801072239875793,0.4284660518169403
ETTh1_192_336.log,0.45732399821281433,0.4377152621746063
ETTh1_192_720.log,0.43499982357025146,0.4485718607902527
ETTh2_192_96.log,0.30022042989730835,0.3461345136165619
ETTh2_192_192.log,0.3659646809101105,0.39065295457839966
ETTh2_192_336.log,0.38966426253318787,0.41319242119789124
ETTh2_192_720.log,0.4037184715270996,0.4303475022315979
ETTm1_192_96.log,0.31324800848960876,0.3483511209487915
ETTm1_192_192.log,0.3505108654499054,0.3714437484741211
ETTm1_192_336.log,0.3833759129047394,0.38945433497428894
ETTm1_192_720.log,0.4423358142375946,0.4239012897014618
ETTm2_192_96.log,0.17663899064064026,0.25949570536613464
ETTm2_192_192.log,0.2332524210214615,0.296513170003891
ETTm2_192_336.log,0.28704380989074707,0.3318192660808563
ETTm2_192_720.log,0.383512407541275,0.3878096640110016
weather_192_96.log,0.18901318311691284,0.23297211527824402
weather_192_192.log,0.23202994465827942,0.2683778703212738
weather_192_336.log,0.27982836961746216,0.3009567856788635
weather_192_720.log,0.35246390104293823,0.35058119893074036
Electricity_192_96.log,0.15991093218326569,0.2510209083557129
Electricity_192_192.log,0.1697460114955902,0.26021382212638855
Electricity_192_336.log,0.18571197986602783,0.27584308385849
Electricity_192_720.log,0.22463813424110413,0.30843186378479004
traffic_192_96.log,0.45534077286720276,0.2969839870929718
traffic_192_192.log,0.46298569440841675,0.2994624972343445
traffic_192_336.log,0.47633442282676697,0.30591824650764465
traffic_192_720.log,0.5013803839683533,0.3218064606189728
