file,MSE,MAE
ETTh1_192_96.log,0.3811255097389221,0.39559993147850037
ETTh1_192_192.log,0.42409372329711914,0.4191186726093292
ETTh1_192_336.log,0.4513528048992157,0.4333743453025818
ETTh1_192_720.log,0.43629828095436096,0.4507044553756714
ETTh2_192_96.log,0.2855956554412842,0.34015092253685
ETTh2_192_192.log,0.35565119981765747,0.38512593507766724
ETTh2_192_336.log,0.38483813405036926,0.41071081161499023
ETTh2_192_720.log,0.4012971520423889,0.42899832129478455
ETTm1_192_96.log,0.3102904260158539,0.3464096188545227
ETTm1_192_192.log,0.3451915979385376,0.36703091859817505
ETTm1_192_336.log,0.3813053369522095,0.3886231482028961
ETTm1_192_720.log,0.4405673146247864,0.42247211933135986
ETTm2_192_96.log,0.17201922833919525,0.25718778371810913
ETTm2_192_192.log,0.2316725105047226,0.2952617108821869
ETTm2_192_336.log,0.2847348153591156,0.33068498969078064
ETTm2_192_720.log,0.38246580958366394,0.3870040774345398
weather_192_96.log,0.18819648027420044,0.23327010869979858
weather_192_192.log,0.23008114099502563,0.2662409245967865
weather_192_336.log,0.2796972990036011,0.3017345666885376
weather_192_720.log,0.34906789660453796,0.34759077429771423
electricity_192_96.log,0.15415586531162262,0.24796612560749054
electricity_192_192.log,0.16627107560634613,0.25839611887931824
electricity_192_336.log,0.18335920572280884,0.2752278447151184
electricity_192_720.log,0.22235621511936188,0.30667224526405334
traffic_192_96.log,0.4504554569721222,0.2973393499851227
traffic_192_192.log,0.4593034088611603,0.30014291405677795
traffic_192_336.log,0.4730479419231415,0.3067340850830078
traffic_192_720.log,0.5005558133125305,0.3234402537345886
