file,MSE,MAE
ETTh1_96_96.log,0.3851375877857208,0.3932528793811798
ETTh1_96_192.log,0.43556514382362366,0.42196962237358093
ETTh1_96_336.log,0.4751099646091461,0.4431818127632141
ETTh1_96_720.log,0.46552035212516785,0.4591066539287567
ETTh2_96_96.log,0.29025450348854065,0.3390117287635803
ETTh2_96_192.log,0.3752710521221161,0.39018377661705017
ETTh2_96_336.log,0.41532525420188904,0.42504897713661194
ETTh2_96_720.log,0.41706550121307373,0.43623000383377075
ETTm1_96_96.log,0.35398927330970764,0.3749251365661621
ETTm1_96_192.log,0.39162197709083557,0.3928954601287842
ETTm1_96_336.log,0.4246536195278168,0.4145638644695282
ETTm1_96_720.log,0.4861225485801697,0.44878292083740234
ETTm2_96_96.log,0.1823738068342209,0.26560264825820923
ETTm2_96_192.log,0.24656535685062408,0.3047643303871155
ETTm2_96_336.log,0.30677127838134766,0.34201517701148987
ETTm2_96_720.log,0.40718841552734375,0.39751532673835754
weather_96_96.log,0.19645339250564575,0.2364344596862793
weather_96_192.log,0.24093487858772278,0.2718829810619354
weather_96_336.log,0.29288074374198914,0.3077772259712219
weather_96_720.log,0.3655398190021515,0.3545023798942566
electricity_96_96.log,0.20099946856498718,0.27968716621398926
electricity_96_192.log,0.2005864381790161,0.2818484604358673
electricity_96_336.log,0.21506516635417938,0.29699742794036865
electricity_96_720.log,0.2562873363494873,0.328567773103714
traffic_96_96.log,0.6512741446495056,0.38865527510643005
traffic_96_192.log,0.6028547286987305,0.36560705304145813
traffic_96_336.log,0.6098471283912659,0.3693353235721588
traffic_96_720.log,0.6477224826812744,0.3862338066101074
